behat/transliterator                v1.2.0             String transliterator
composer/semver                     1.4.2              Semver library that offers utilities, version constraint parsing and validation.
composer/xdebug-handler             1.3.2              Restarts a process without xdebug.
container-interop/container-interop 1.2.0              Promoting the interoperability of container objects (DIC, SL, etc.)
doctrine/annotations                v1.6.0             Docblock Annotations Parser
doctrine/cache                      v1.8.0             Caching library offering an object-oriented API for many cache backends
doctrine/collections                v1.5.0             Collections Abstraction library
doctrine/common                     v2.10.0            PHP Doctrine Common project is a library that provides additional functionality that other Doctrine projects depend on such as better reflection supp...
doctrine/dbal                       v2.9.2             Powerful PHP database abstraction layer (DBAL) with many features for database schema introspection and management.
doctrine/event-manager              v1.0.0             Doctrine Event Manager component
doctrine/inflector                  v1.3.0             Common String Manipulations with regard to casing and singular/plural rules.
doctrine/instantiator               1.1.0              A small, lightweight utility to instantiate objects in PHP without invoking their constructors
doctrine/lexer                      v1.0.1             Base library for a lexer that can be used in Top-Down, Recursive Descent Parsers.
doctrine/orm                        v2.6.3             Object-Relational-Mapper for PHP
doctrine/persistence                v1.1.0             The Doctrine Persistence project is a set of shared interfaces and functionality that the different Doctrine object mappers share.
doctrine/reflection                 v1.0.0             Doctrine Reflection component
felixfbecker/advanced-json-rpc      v3.0.3             A more advanced JSONRPC implementation
gedmo/doctrine-extensions           v2.4.36            Doctrine2 behavioral extensions
gpupo/common                        4.8.0              Common Objects
gpupo/common-schema                 4.7.1              Common schema
gpupo/common-sdk                    dev-master c3fecd8 Componente de uso comum entre SDKs para integração a partir de aplicações PHP com Restful webservices
microsoft/tolerant-php-parser       v0.0.16            Tolerant PHP-to-AST parser designed for IDE usage scenarios
monolog/monolog                     1.24.0             Sends your logs to files, sockets, inboxes, databases and various web services
myclabs/deep-copy                   1.8.1              Create deep copies (clones) of your objects
netresearch/jsonmapper              v1.4.0             Map nested JSON structures onto PHP classes
phan/phan                           1.2.2              A static analyzer for PHP
phar-io/manifest                    1.0.3              Component for reading phar.io manifest information from a PHP Archive (PHAR)
phar-io/version                     2.0.1              Library for handling version information and constraints
phpdocumentor/reflection-common     1.0.1              Common reflection classes used by phpdocumentor to reflect the code structure
phpdocumentor/reflection-docblock   4.3.0              With this component, a library can provide support for annotations via DocBlocks or otherwise retrieve information that is embedded in a DocBlock.
phpdocumentor/type-resolver         0.4.0             
phpspec/prophecy                    1.8.0              Highly opinionated mocking framework for PHP 5.3+
phpunit/php-code-coverage           6.1.4              Library that provides collection, processing, and rendering functionality for PHP code coverage information.
phpunit/php-file-iterator           2.0.2              FilterIterator implementation that filters files based on a list of suffixes.
phpunit/php-text-template           1.2.1              Simple template engine.
phpunit/php-timer                   2.0.0              Utility class for timing
phpunit/php-token-stream            3.0.1              Wrapper around PHP's tokenizer extension.
phpunit/phpunit                     7.5.4              The PHP Unit Testing framework.
psr/cache                           1.0.1              Common interface for caching libraries
psr/container                       1.0.0              Common Container Interface (PHP FIG PSR-11)
psr/http-client                     1.0.0              Common interface for HTTP clients
psr/http-factory                    1.0.0              Common interfaces for PSR-7 HTTP message factories
psr/http-message                    1.0.1              Common interface for HTTP messages
psr/log                             1.1.0              Common interface for logging libraries
psr/simple-cache                    1.0.1              Common interfaces for simple caching
sabre/event                         5.0.3              sabre/event is a library for lightweight event-based programming
sebastian/code-unit-reverse-lookup  1.0.1              Looks up which function or method a line of code belongs to
sebastian/comparator                3.0.2              Provides the functionality to compare PHP values for equality
sebastian/diff                      3.0.2              Diff implementation
sebastian/environment               4.1.0              Provides functionality to handle HHVM/PHP environments
sebastian/exporter                  3.1.0              Provides the functionality to export PHP variables for visualization
sebastian/global-state              2.0.0              Snapshotting of global state
sebastian/object-enumerator         3.0.3              Traverses array structures and object graphs to enumerate all referenced objects
sebastian/object-reflector          1.1.1              Allows reflection of object attributes, including inherited and non-public ones
sebastian/recursion-context         3.0.0              Provides functionality to recursively process PHP variables
sebastian/resource-operations       2.0.1              Provides a list of PHP built-in functions that operate on resources
sebastian/version                   2.0.1              Library that helps with managing the version number of Git-hosted PHP projects
symfony/cache                       v4.2.3             Symfony Cache component with PSR-6, PSR-16, and tags
symfony/console                     v4.2.3             Symfony Console Component
symfony/contracts                   v1.0.2             A set of abstractions extracted out of the Symfony components
symfony/dotenv                      v4.2.2             Registers environment variables from a .env file
symfony/filesystem                  v4.2.3             Symfony Filesystem Component
symfony/finder                      v4.2.3             Symfony Finder Component
symfony/lock                        v4.2.2             Symfony Lock Component
symfony/polyfill-ctype              v1.10.0            Symfony polyfill for ctype functions
symfony/polyfill-mbstring           v1.10.0            Symfony polyfill for the Mbstring extension
symfony/polyfill-php72              v1.10.0            Symfony polyfill backporting some PHP 7.2+ features to lower PHP versions
symfony/var-dumper                  v4.2.3             Symfony mechanism for exploring and dumping PHP variables
symfony/var-exporter                v4.2.3             A blend of var_export() + serialize() to turn any serializable data structure to plain PHP code
symfony/yaml                        v4.2.3             Symfony Yaml Component
theseer/tokenizer                   1.1.0              A small library for converting tokenized PHP source code into XML and potentially other formats
twig/twig                           v2.6.2             Twig, the flexible, fast, and secure template language for PHP
webmozart/assert                    1.4.0              Assertions to validate method input/output with nice error messages.
zendframework/zend-code             3.3.1              provides facilities to generate arbitrary code using an object oriented interface
zendframework/zend-escaper          2.6.0              Securely and safely escape HTML, HTML attributes, JavaScript, CSS, and URLs
zendframework/zend-eventmanager     3.2.1              Trigger and listen to events within a PHP application
zendframework/zend-server           2.8.0              Create Reflection-based RPC servers
zendframework/zend-soap             2.7.0             
zendframework/zend-stdlib           3.2.1              SPL extensions, array utilities, error handlers, and more
zendframework/zend-uri              2.6.1              A component that aids in manipulating and validating » Uniform Resource Identifiers (URIs)
zendframework/zend-validator        2.12.0             provides a set of commonly needed validators
